Gene	Expr0
1700019N12Rik	6.88161
2810046L04Rik	6.91
4833420G17Rik	6.62215
4933437F05Rik	6.69385
AI846148	6.52038
Acacb	6.52851
Accn2	6.84011
Acp5	6.74869
Adrb3	6.53966
Apobec2	6.73229
Cbs	6.50025
Ccdc18	7.02216
Ccdc45	6.51728
Ccdc88c	6.62093
Ccno	7.2877
Cep70	6.84182
Chka	7.03048
Cldn6	6.84549
Cldn7	6.51912
Clstn3	6.88011
Cntfr	6.73254
D1Pas1	6.81311
D6Mm5e	6.59907
Dact1	6.91048
Dennd3	6.66412
Dennd4b	6.5914
Dll3	6.60549
Dnd1	7.04336
Dtwd2	6.64414
Dtx1	6.88331
Ercc8	6.80746
F3	6.76507
Foxh1	7.15611
Frs3	6.73511
Gm1070	6.50382
Gna15	6.65705
Grhl2	6.86034
Klf15	6.80119
Lama1	7.38061
Lck	7.46596
Lonrf3	7.40938
Mep1b	6.91862
Mmrn2	7.14524
Mov10l1	7.14866
Notch4	6.83315
Olig2	7.16001
Pard6b	7.10925
Pdcl2	6.60609
Pelp1	6.63085
Pitx2	7.05199
Pla2g4b	6.83746
Plekhb1	6.95721
Pnma2	6.66503
Ppargc1b	6.63871
Ptpn6	7.28242
Qprt	6.93291
Ranbp17	7.04214
Rhox6	6.86706
Rhox9	6.58517
Rreb1	6.67427
Rtn2	6.54138
Setd4	6.67444
Sh3tc1	6.59677
Slain1	6.53329
Slc5a11	6.48782
Sox3	6.83613
Spats1	6.84637
Stat4	6.5983
Taf7l	6.9647
Tnnt1	6.85072
Trp53i11	7.49949
Vash1	6.81384
Wdr31	6.65729
0610009O20Rik	7.30165
0610010E21Rik	8.40293
0610010K06Rik	8.2182
0610010K14Rik	9.04734
0610011L14Rik	6.58881
0610013E23Rik	7.2823
0610038F07Rik	8.52174
1-Sep	8.03646
10-Sep	7.1626
1110001A07Rik	8.63522
1110002N22Rik	8.84691
1110004E09Rik	7.92978
1110006G06Rik	7.85476
1110007A13Rik	9.01255
1110007C09Rik	7.12325
1110008P14Rik	8.168
1110012D08Rik	6.94329
1110012J17Rik	8.75731
1110012L19Rik	8.81375
1110013L07Rik	7.03697
1110014N23Rik	6.74014
1110018G07Rik	7.41686
1110018J18Rik	6.67851
1110029E03Rik	7.8017
1110029I05Rik	8.16822
1110031I02Rik	7.52729
1110034A24Rik	8.02044
1110034B05Rik	8.49449
1110037F02Rik	8.54137
1110039B18Rik	6.78652
1110051M20Rik	6.98204
1110059E24Rik	9.12998
1190002N15Rik	7.5187
1190005I06Rik	8.10271
1200004M23Rik	8.40722
1200009F10Rik	6.63348
1200011I18Rik	8.10999
1200013P24Rik	8.04714
1200016B10Rik	8.02718
1300010M03Rik	7.15918
1300012G16Rik	7.1674
1300018I05Rik	8.25419
1500003O22Rik	8.45817
1500005A01Rik	6.72854
1600002H07Rik	7.79204
1600012H06Rik	7.48121
