Gene	Expr0
Zzef1	6.53585
Zyx	7.52429
Zyg11b	7.04986
Zxdc	6.86555
Zw10	8.09664
Zswim4	6.85816
Zswim3	7.00684
Zscan22	6.98507
Zscan21	7.57228
Zscan12	6.4349
Zranb3	7.08907
Zranb1	7.32138
Znrf2	8.05364
Znrf1	6.44449
Znhit4	7.22607
Znhit2	8.26637
Znfx1	6.15639
Zmynd11	7.77015
Zmym5	6.92812
Zmym3	8.19485
Zmiz2	8.33595
Zmat5	7.10216
Zkscan5	6.34521
Zkscan3	6.43053
Zkscan14	6.32313
Zkscan1	6.01769
Zik1	6.70787
Zic2	7.54161
Zhx1	8.32231
Zh2c2	6.84922
Zgpat	7.21851
Zfyve9	5.94421
Zfyve28	5.71186
Zfyve27	5.82407
Zfyve26	7.68662
Zfyve21	7.7974
Zfyve20	7.03038
Zfyve19	7.59335
Zfyve16	5.73543
Zfyve1	7.17847
Zfx$Zfa	7.53024
Zfpl1	7.74965
Zfp93	6.10761
Zfp91$Cntf	7.64425
Zfp90	5.96769
Zfp87	6.8073
Zfp84	6.22432
Zfp820	7.30103
Zfp82	5.779
Zfp819	7.66683
Zfp817	5.95671
Zfp810	6.61892
Zfp81	6.11013
Zfp800	6.0532
Zfp790	6.27071
Zfp777	7.78991
Zfp775	6.52894
Zfp770	8.02082
Zfp760	7.81565
Zfp758	6.2525
Zfp75	5.88539
Zfp748	6.64828
Zfp74	7.14742
Zfp715	7.67436
Zfp710	7.60715
Zfp707	7.0361
Zfp704	7.54141
Zfp7	7.88051
Zfp692	7.90444
Zfp691	7.35123
Zfp69	6.3376
Zfp689	5.84805
Zfp688	7.66538
Zfp687	7.27082
Zfp68	5.97905
Zfp677	5.7725
Zfp668	5.96212
Zfp667	6.68096
Zfp664	8.10957
Zfp653	5.91648
Zfp652	7.02306
Zfp650	7.87925
Zfp647	7.85765
Zfp646	6.93363
Zfp644	7.59299
Zfp64	7.69567
Zfp637	6.98032
Zfp628	6.90246
Zfp623	8.00601
Zfp622	7.75713
Zfp62	6.89441
Zfp617	7.70505
Zfp61	6.53969
Zfp606	5.82499
Zfp593	6.4915
Zfp592	6.66697
Zfp579	5.93379
Zfp575	6.26116
Zfp574	8.20053
Zfp566	7.86714
Zfp560	8.47579
Zfp553	7.54157
Zfp53$LOC100044273	5.85465
Zfp524	5.74566
Zfp523	6.40033
