Gene	Expr0	Expr1	Expr2
p	4.20105	4.61022	4.10555
a	4.32444	4.38922	4.26376
Zswim5	4.99657	5.44972	5.16824
Zswim2	3.10963	3.0664	3.0393
Zscan2	4.48174	4.39793	4.27979
Zpbp2	3.75735	3.76005	3.79153
Zpbp	3.9791	3.99921	4.07363
Zp3r	3.4947	3.59941	3.4013
Zp3	5.29016	3.41301	3.60379
Zp2	3.39499	3.35265	3.62412
Zp1	4.02211	4.14153	4.09136
Znrf4	4.37316	4.68374	4.24804
Zmynd15	4.50337	4.10864	4.30458
Zmynd12	3.96926	3.70755	3.86885
Zmynd10	5.09185	4.7688	5.06992
Zmiz1	5.17757	5.54466	5.30288
Zmat4	4.11297	3.4411	3.48771
Zmat1	4.36066	5.80573	4.4298
Zkscan6	4.3865	4.74612	4.89516
Zim1	3.5695	3.93263	3.62431
Zic4	3.62604	3.59466	3.97565
Zhx3	5.03098	5.6233	5.57161
Zfyve28	5.71186	5.23636	4.72589
Zfy1	4.09241	4.6616	3.87485
Zfp94	4.70295	4.87517	5.56196
Zfp92	4.5207	4.55797	4.55102
Zfp82	5.779	4.87956	5.59157
Zfp811	4.8878	3.58258	4.47217
Zfp804a	2.53322	2.8151	2.5456
Zfp786	4.32696	4.22147	4.32598
Zfp784	4.53723	5.01789	5.22652
Zfp78	4.66621	4.66099	4.84684
Zfp759	4.72817	4.10211	5.2645
Zfp711	4.31233	3.11218	4.75398
Zfp709	3.93082	4.66653	3.42688
Zfp708	4.31394	4.11475	3.97853
Zfp697	4.51656	6.14989	5.01077
Zfp661	5.55825	4.94804	5.70135
Zfp619	5.2235	5.33272	5.08037
Zfp612	4.94712	4.21423	5.3099
Zfp606	5.82499	5.28001	5.08519
Zfp59	3.18255	2.92141	3.18105
Zfp583	5.56897	5.41079	4.75007
Zfp563	4.59133	5.10219	5.31854
Zfp551	4.60751	4.28803	4.53166
Zfp541	5.26869	4.95816	5.13315
Zfp536	3.49817	4.03992	3.46604
Zfp521	3.76123	8.25302	3.17752
Zfp52	3.93143	4.83085	4.12556
Zfp474	4.74362	4.66402	4.85253
Zfp467	4.14871	5.48211	4.51243
Zfp458	3.45447	3.83712	4.08503
Zfp455	2.54821	2.65665	2.56339
Zfp454	5.67799	5.54072	5.0896
Zfp418	6.11542	4.54773	5.05988
Zfp40	4.13096	3.22186	3.75101
Zfp398	4.96274	5.12926	4.95662
Zfp39	4.94539	4.67925	4.49326
Zfp354b	3.85718	3.5867	3.84736
Zfp334	3.69756	4.22676	3.94535
Zfp316	4.2143	4.84138	5.65113
Zfp3	5.23175	4.75258	5.60698
Zfp287	4.56762	5.33404	5.22968
Zfp286	5.48328	5.53614	4.26817
Zfp28	4.51872	5.02999	4.07909
Zfp273	5.71178	5.30511	5.09372
Zfp248	4.4844	5.10156	5.21988
Zfp202	4.83678	5.92024	5.55228
Zfp2	4.91826	3.98007	4.70331
Zfp189	4.6273	4.77667	4.36469
Zfp182	5.51316	4.58935	5.00722
Zfp179	4.62336	4.53111	4.70825
Zfp142	5.27562	5.16859	5.20005
Zfp14	4.02911	4.4575	4.3758
Zfp119	5.17658	5.06774	5.32098
Zfp113	4.81306	5.39767	5.65347
Zfp111	5.524	5.23426	5.37947
Zfp109	5.37935	5.25619	5.59823
Zfp108	4.3097	4.49862	4.43624
Zfat1	5.3718	5.2786	5.65643
Zer1	3.55649	3.35782	3.32534
Zeb2	3.83483	6.23553	3.61665
Zdhhc25	3.75264	3.62345	3.67108
Zdhhc19	3.22646	3.29825	3.53884
Zdhhc14	4.12348	4.93377	5.58595
Zdhhc11	3.69038	3.8693	3.53122
Zcchc18	5.14057	4.68677	4.08724
Zc3h6	4.89002	4.57436	5.64677
Zc3h12d	3.52079	3.37722	3.41102
Zbtb8os	4.17484	3.66231	5.39194
Zbtb8	5.97901	3.76705	4.66412
Zbtb46	5.20584	5.01255	4.75898
Zbtb38	5.06739	4.91291	5.00898
Zbtb37	3.47029	3.8899	3.57653
Zbtb16	4.88737	4.87043	4.8206
Zan	4.88468	4.78662	4.64825
Ypel4	3.6813	3.95702	3.79876
